geoid,name,population,value,percentile,numerator,denominator
06065043703,437.03,3145,-0.480215324577846,0.22387676508344,,
06037408003,4080.03,4577,-0.0173395977382306,0.479717586649551,,
06037209300,2093,4885,-1.04333413579664,0.0327342747111682,,
06037600902,6009.02,6491,-0.527305267242718,0.199486521181001,,
06037127102,1271.02,5779,-0.466764781766567,0.230551989730424,,
06037127520,1275.20,4870,-1.2300897332651,0.0121951219512195,,
06037104500,1045,3025,-0.519510769881044,0.202952503209243,,
06059099402,994.02,8190,-0.137535227119564,0.408857509627728,,
06059063201,632.01,4016,0.515554542486983,0.794608472400513,,
06001420200,4202,3332,0.961337430009046,0.962259306803594,,
06001427900,4279,5052,0.832002766627028,0.931322207958922,,
06077002000,20,3357,-0.995857432845084,0.0435173299101412,,
06077003217,32.17,3749,-0.645629206050901,0.145314505776637,,
06059110203,1102.03,5512,0.292416525094404,0.661232349165597,,
06065047201,472.01,1848,-0.929018084881979,0.0586649550706033,,
06073011000,110,3567,0.571221271386183,0.825417201540436,,
06037310900,3109,6071,0.311320622562403,0.673299101412067,,
06111004304,43.04,5978,-0.0400437107903454,0.466495507060334,,
06037482503,4825.03,4293,-0.235676011196703,0.35198973042362,,
06073012502,125.02,4330,-0.487547602196945,0.220410783055199,,
06037134800,1348,6399,-0.00419011595657575,0.487291399229782,,
06037218210,2182.10,3721,-0.588359342957664,0.172913992297818,,
06085504410,5044.10,4724,0.225943066172428,0.619768934531451,,
06101050401,504.01,4665,0.026336928236997,0.505648267008986,,
06073014200,142,6513,-0.0326163319401675,0.471758664955071,,
06019005804,58.04,6940,-0.2148585510413,0.364569961489089,,
06067005508,55.08,3338,-0.0227356053934233,0.476636713735558,,
06081607600,6076,3611,0.72761103999049,0.896534017971759,,
06081603801,6038.01,2384,0.5996899307488,0.840564826700899,,
06093001000,10,6544,-0.0274580983107784,0.473812580231065,,
06085510900,5109,5494,1.0865152649511,0.979589216944801,,
06037211410,2114.10,2736,-0.376325366029526,0.277278562259307,,
06013307202,3072.02,4299,-0.94593340643966,0.0534017971758665,,
06037534804,5348.04,3736,-0.510255286278583,0.208215661103979,,
06037431900,4319,4400,-0.00402541728222014,0.487419768934531,,
06037189102,1891.02,3356,0.79516027689162,0.921309370988447,,
06073008356,83.56,4028,0.325825478775507,0.681258023106547,,
06065042408,424.08,3437,-0.093210121351402,0.434017971758665,,
06073013204,132.04,3970,-0.499553520120325,0.214634146341463,,
06073013301,133.01,5205,0.00326347175391202,0.491270860077022,,
06073013303,133.03,5111,-0.169324522356501,0.391399229781771,,
06037402301,4023.01,5464,-0.524891337368506,0.200256739409499,,
06037603004,6030.04,1549,-0.185578005544589,0.382413350449294,,
06067008117,81.17,2429,0.338244705533115,0.68780487804878,,
06037191000,1910,4454,0.0784003595512641,0.535686777920411,,
06111005504,55.04,4255,0.468184034622666,0.770860077021823,,
06075011000,110,5127,0.679274555519244,0.876379974326059,,
06007000202,2.02,3703,-0.245505038821694,0.347496790757381,,
06065045302,453.02,4027,-0.566180006252489,0.184980744544288,,
06037575901,5759.01,3553,-0.581259795742605,0.177663671373556,,
06111007904,79.04,5668,0.364801298658547,0.706161745827985,,
06071000821,8.21,4017,-0.00518615759639749,0.486906290115533,,
06071002038,20.38,6890,0.234106404354143,0.625288831835687,,
06085503510,5035.10,5826,-0.123787692915997,0.416944801026958,,
06037481714,4817.14,2739,-0.938830573520198,0.0558408215661104,,
06037572001,5720.01,5957,0.524468231771945,0.800513478818999,,
06037214000,2140,4277,0.448294223737612,0.76007702182285,,
06059052515,525.15,9253,0.428288219437528,0.747368421052632,,
06037532605,5326.05,3301,-0.924737935386038,0.0598202824133504,,
06073003004,30.04,5264,-0.660406764511204,0.140821566110398,,
06065043262,432.62,5287,0.3739082331444,0.712836970474968,,
06029003400,34,4762,-1.05378865876873,0.031193838254172,,
06037570902,5709.02,3583,0.42348856232914,0.74403080872914,,
06067009328,93.28,5851,0.366872621367794,0.70783055198973,,
06111005404,54.04,3924,0.469452434416701,0.772272143774069,,
06037228410,2284.10,3600,-1.01465785176757,0.0382541720154044,,
06067008129,81.29,3030,0.199812174501437,0.60385109114249,,
06063000400,4,2510,-0.4003545390552,0.265468549422336,,
06037920016,9200.16,3563,0.684633433962739,0.878305519897304,,
06071009711,97.11,9766,-0.0995974734800156,0.430038510911425,,
06023011600,116,3465,-0.39429818530225,0.268934531450578,,
06091010000,100,3040,-0.254759720854668,0.343003851091143,,
06053011400,114,4462,-0.489080303950817,0.219383825417202,,
06099003606,36.06,12851,0.209169097807968,0.609114249037227,,
06013303202,3032.02,7439,0.437508665902809,0.753016688061617,,
06075012201,122.01,4620,-0.682636840959792,0.13196405648267,,
